codigo_municipio;nome_municipio;uf;estado;latitude;longitude
350930;Cajobi;SP;Sao Paulo;-20,8773;-48,8063
350940;Cajuru;SP;Sao Paulo;-21,2749;-47,303
350945;Campina do Monte Alegre;SP;Sao Paulo;-23,5895;-48,4758
350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659
350960;Campo Limpo Paulista;SP;Sao Paulo;-23,2078;-46,7889
350970;Campos do Jordão;SP;Sao Paulo;-22,7296;-45,5833
350980;Campos Novos Paulista;SP;Sao Paulo;-22,602;-49,9987
350990;Cananéia;SP;Sao Paulo;-25,0144;-47,9341
350995;Canas;SP;Sao Paulo;-22,7003;-45,0521
351000;Cândido Mota;SP;Sao Paulo;-22,7471;-50,3873
351010;Cândido Rodrigues;SP;Sao Paulo;-21,3275;-48,6327
351015;Canitar;SP;Sao Paulo;-23,004;-49,7839
351020;Capão Bonito;SP;Sao Paulo;-24,0113;-48,3482
351030;Capela do Alto;SP;Sao Paulo;-23,4685;-47,7388
351040;Capivari;SP;Sao Paulo;-22,9951;-47,5071
351050;Caraguatatuba;SP;Sao Paulo;-23,6125;-45,4125
351060;Carapicuíba;SP;Sao Paulo;-23,5235;-46,8407
351070;Cardoso;SP;Sao Paulo;-20,08;-49,9183
351080;Casa Branca;SP;Sao Paulo;-21,7708;-47,0852
351090;Cássia dos Coqueiros;SP;Sao Paulo;-21,2801;-47,1643
351100;Castilho;SP;Sao Paulo;-20,8689;-51,4884
351110;Catanduva;SP;Sao Paulo;-21,1314;-48,977
351120;Catiguá;SP;Sao Paulo;-21,0519;-49,0616
351130;Cedral;SP;Sao Paulo;-20,9009;-49,2664
351140;Cerqueira César;SP;Sao Paulo;-23,038;-49,1655
351150;Cerquilho;SP;Sao Paulo;-23,1665;-47,7459
351160;Cesário Lange;SP;Sao Paulo;-23,226;-47,9545
351170;Charqueada;SP;Sao Paulo;-22,5096;-47,7755
355720;Chavantes;SP;Sao Paulo;-23,0366;-49,7096
351190;Clementina;SP;Sao Paulo;-21,5604;-50,4525
351200;Colina;SP;Sao Paulo;-20,7114;-48,5387
351210;Colômbia;SP;Sao Paulo;-20,1768;-48,6865
351220;Conchal;SP;Sao Paulo;-22,3375;-47,1729
351230;Conchas;SP;Sao Paulo;-23,0154;-48,0134
351240;Cordeirópolis;SP;Sao Paulo;-22,4778;-47,4519
351250;Coroados;SP;Sao Paulo;-21,3521;-50,2859
351260;Coronel Macedo;SP;Sao Paulo;-23,6261;-49,31
351270;Corumbataí;SP;Sao Paulo;-22,2213;-47,6215
351280;Cosmópolis;SP;Sao Paulo;-22,6419;-47,1926
351290;Cosmorama;SP;Sao Paulo;-20,4755;-49,7827
351300;Cotia;SP;Sao Paulo;-23,6022;-46,919
351310;Cravinhos;SP;Sao Paulo;-21,338;-47,7324
351320;Cristais Paulista;SP;Sao Paulo;-20,4036;-47,4209
351330;Cruzália;SP;Sao Paulo;-22,7373;-50,7909
351340;Cruzeiro;SP;Sao Paulo;-22,5728;-44,969
351350;Cubatão;SP;Sao Paulo;-23,8911;-46,424
351360;Cunha;SP;Sao Paulo;-23,0731;-44,9576
351370;Descalvado;SP;Sao Paulo;-21,9002;-47,6181
351380;Diadema;SP;Sao Paulo;-23,6813;-46,6205
351385;Dirce Reis;SP;Sao Paulo;-20,4642;-50,6073
351390;Divinolândia;SP;Sao Paulo;-21,6637;-46,7361
351400;Dobrada;SP;Sao Paulo;-21,5155;-48,3935
351410;Dois Córregos;SP;Sao Paulo;-22,3673;-48,3819
351420;Dolcinópolis;SP;Sao Paulo;-20,124;-50,5149
351430;Dourado;SP;Sao Paulo;-22,1044;-48,3178
351440;Dracena;SP;Sao Paulo;-21,4843;-51,535
351450;Duartina;SP;Sao Paulo;-22,4146;-49,4084
351460;Dumont;SP;Sao Paulo;-21,2324;-47,9756
351470;Echaporã;SP;Sao Paulo;-22,4326;-50,2038
351480;Eldorado;SP;Sao Paulo;-24,5281;-48,1141
351490;Elias Fausto;SP;Sao Paulo;-23,0428;-47,3682
351492;Elisiário;SP;Sao Paulo;-21,1678;-49,1146
351495;Embaúba;SP;Sao Paulo;-20,9796;-48,8325
351500;Embu das Artes;SP;Sao Paulo;-23,6437;-46,8579
351510;Embu-Guaçu;SP;Sao Paulo;-23,8297;-46,8136
351512;Emilianópolis;SP;Sao Paulo;-21,8314;-51,4832
351515;Engenheiro Coelho;SP;Sao Paulo;-22,4836;-47,211
351518;Espírito Santo do Pinhal;SP;Sao Paulo;-22,1909;-46,7477
351519;Espírito Santo do Turvo;SP;Sao Paulo;-22,6925;-49,4341
355730;Estiva Gerbi;SP;Sao Paulo;-22,2713;-46,9481
351520;Estrela d'Oeste;SP;Sao Paulo;-20,2875;-50,4049
351530;Estrela do Norte;SP;Sao Paulo;-22,4859;-51,6632
351535;Euclides da Cunha Paulista;SP;Sao Paulo;-22,5545;-52,5928
351540;Fartura;SP;Sao Paulo;-23,3916;-49,5124
