id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2080508;Hospital CNES 2080508;350130;Álvares Machado;SP;Sao Paulo;-22,0764;-51,4722;216;192;24;05;;3999;Grande Porte;Baixa/Media Complexidade;88,89
2080516;Hospital CNES 2080516;354140;Presidente Prudente;SP;Sao Paulo;-22,1207;-51,3925;1378;0;1378;05;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2080524;Hospital CNES 2080524;354240;Regente Feijó;SP;Sao Paulo;-22,2181;-51,3055;531;423;108;05;;3999;Grande Porte;Baixa/Media Complexidade;79,66
2080532;Hospital CNES 2080532;354140;Presidente Prudente;SP;Sao Paulo;-22,1207;-51,3925;2508;1272;1236;05;;3999;Grande Porte;Baixa/Media Complexidade;50,72
2080575;Hospital CNES 2080575;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;10644;3024;7620;05;;3999;Grande Porte;Baixa/Media Complexidade;28,41
2080583;Hospital CNES 2080583;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;2484;2316;168;05;;1031;Grande Porte;Baixa/Media Complexidade;93,24
2080591;Hospital CNES 2080591;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;648;0;648;05;;2046;Grande Porte;Baixa/Media Complexidade;0,0
2080605;Hospital CNES 2080605;355470;Torrinha;SP;Sao Paulo;-22,4237;-48,1731;240;156;84;05;;3999;Grande Porte;Baixa/Media Complexidade;65,0
2080613;Hospital CNES 2080613;354880;São Caetano do Sul;SP;Sao Paulo;-23,6229;-46,5548;1008;0;1008;05;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2080621;Hospital CNES 2080621;354000;Pompéia;SP;Sao Paulo;-22,107;-50,176;312;228;84;05;;3999;Grande Porte;Baixa/Media Complexidade;73,08
